rec,UWA Case ID,COURT case no.,Crime type,Start date,Finalized,UWA prosecutor,State prosecutor,Defense lawyer,Judicial Officer
1166,QECA-QENP-17-2015-05-12-,CRB 061/2015,Illegal harvesting,19/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1167,QECA-QENP-17-2015-05-12-,CRB 061/2015,Illegal harvesting,19/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1168,QECA-QENP-17-2015-05-12-,CRB 061/2015,Illegal harvesting,19/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1169,QECA-QENP-17-2015-05-12-,CRB 062/2015,Illegal harvesting,09/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1170,QECA-QENP-17-2015-05-12-,CRB 068/2015,Hunting for meat,09/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1171,QECA-QENP-17-2015-05-12-,CRB 069/2015,Hunting for meat,09/03-2015,26/03-2015,Okenyi Charlce,,,Rubarema Francis
1172,QECA-QENP-17-2015-05-12-,CRB 070/2015,Hunting for meat,09/03-2015,26/03-2015,Okenyi Charlce,,,Rubarema Francis
1173,QECA-QENP-17-2015-05-12-,CRB 070/2015,Hunting for meat,09/03-2015,26/03-2015,Okenyi Charlce,,,Rubarema Francis
1174,QECA-QENP-17-2015-05-12-,CRB 070/2015,Hunting for meat,09/03-2015,26/03-2015,Okenyi Charlce,,,Rubarema Francis
1175,QECA-QENP-17-2015-05-12-,CRB 070/2015,Hunting for meat,09/03-2015,26/03-2015,Okenyi Charlce,,,Rubarema Francis
1176,KCA-KNP-10-2015-05-16-1,CO - 221/2015,Illegal entry,30/04-2015,30/04-2015,Ngene Reuben,,,
1263,KCA-KNP-10-2015-09-21-2,CO - 074/2015,Illegal entry,24/07-2015,28/08-2015,Ngene Reuben,,,Tiru S K
1264,KCA-KNP-10-2015-09-21-3,CO - 0583/2015,Illegal entry,05/08-2015,28/08-2015,Ngene Reuben,,,Ngamije Mbale Faisal
1265,KCA-KNP-10-2015-09-21-4,CO - 0455/2015,Illegal possesion,10/06-2015,25/08-2015,Ngene Reuben,,,Omokol Samuel
1266,KCA-KNP-10-2015-09-21-5,CO - 045/2015,Illegal entry,15/05-2015,,Ngene Reuben,,,Tiru S K
1267,KCA-KNP-10-2015-09-21-6,CO - 066/2015,Illegal entry,12/06-2015,14/08-2015,Ngene Reuben,,,Tiru S K
1268,KCA-KNP-10-2015-09-21-7,CO - 0454/2015,Illegal harvesting,10/06-2015,,Ngene Reuben,,,
1269,KCA-KNP-10-2015-09-21-8,CO - 067/2015,Illegal entry,19/06-2015,,Ngene Reuben,,,Tiru S K
1270,KCA-KNP-10-2015-09-21-9,CO - 091/2015,Illegal possesion,28/08-2015,,Ngene Reuben,,,Tiru S K
